"","Watershed","Biomass"
"1","Aasu",34.3512608561562
"2","Afao - Asili",32.1769053175232
"3","Afono",37.8347163900835
"4","Alao",41.7645790011385
"5","Alega",34.6956114110127
"6","Amanave",32.0139458937716
"7","Amouli",31.3688680027914
"8","Aoloau Sasae",31.0394954068737
"9","Aoloau Sisifo",35.5486077245003
"10","Auasi",30.376588246908
"11","Aunuu",47.1039775677925
"12","Faga'alu",25.4025616132163
"13","Fagaitua",35.293988541201
"14","Fagalii",25.6083791928498
"15","Fagamalo",39.8647246529353
"16","Fagasa",16.1540094015011
"17","Fagatele - Larsen",35.8030494156363
"18","Fagatuitui - Vaaogeoge",41.2862904398498
"19","Laulii - Aumi",19.0797468480792
"20","Leone",36.2841285712762
"21","Maloata",25.1155459825647
"22","Masausi",25.4140158853921
"23","Masefau",42.7908223738268
"24","Matuu - Faganeanea",31.2526559161727
"25","Nua - Seetaga",24.8151677739002
"26","Nuuuli Pala",33.2538989655731
"27","Onenoa",79.2744848810193
"28","Outer Banks",59.5842590274832
"29","Pago Pago Harbor",24.6006376628354
"30","Poloa",36.0926334791685
"31","Sailele",44.3599134291987
"32","Tafuna Plain",39.1125254672414
"33","Tula",41.9785100686739
"34","Vatia",44.7343147071423
