"","Watershed","Coral Cover"
"1","Aasu",16.8684210526316
"2","Afao - Asili",41.4285714285714
"3","Afono",27
"4","Alao",35.5
"5","Alega",15.5357142857143
"6","Amanave",34.3
"7","Amouli",11.75
"8","Aoloau Sasae",20.9333333333333
"9","Aoloau Sisifo",16.1666666666667
"10","Auasi",22
"11","Faga'alu",24.5208333333333
"12","Fagaitua",22.8088235294118
"13","Fagalii",16.8125
"14","Fagamalo",23.25
"15","Fagasa",9.75
"16","Fagatele - Larsen",25.5988372093023
"17","Fagatuitui - Vaaogeoge",32.140625
"18","Laulii - Aumi",14.5
"19","Leone",31.8026315789474
"20","Maloata",21.5
"21","Masausi",27.5357142857143
"22","Masefau",17.2222222222222
"23","Matuu - Faganeanea",21.3166666666667
"24","Nua - Seetaga",25.1166666666667
"25","Nuuuli Pala",20.0535714285714
"26","Onenoa",18.125
"27","Outer Banks",13.2625
"28","Pago Pago Harbor",19.5
"29","Poloa",25
"30","Sailele",25.3125
"31","Tafuna Plain",13.4166666666667
"32","Tula",15.0892857142857
"33","Vatia",15.0848214285714
"34","Aunuu",7.46428571428571
