"","Watershed","MEANCV"
"1","Aasu",3.93997619648207
"2","Afao - Asili",3.24520259599808
"3","Afono",2.35951113906362
"4","Alao",3.01049981192601
"5","Alega",3.99657499876367
"6","Amanave",2.19915806043973
"7","Amouli",3.10737348930481
"8","Aoloau Sasae",2.21617951225561
"9","Aoloau Sisifo",2.32325501885702
"10","Auasi",2.90876344461451
"11","Aunuu",3.48748784789684
"12","Faga'alu",5.07403537678703
"13","Fagaitua",6.67904811995064
"14","Fagalii",2.23671526942419
"15","Fagamalo",2.55532954096124
"16","Fagasa",3.61316243167312
"17","Fagatele - Larsen",3.16806572591311
"18","Fagatuitui - Vaaogeoge",3.0504606901072
"19","Laulii - Aumi",5.8219819601183
"20","Leone",2.87371566450682
"21","Maloata",2.44635007115176
"22","Masausi",2.80417015797962
"23","Masefau",2.86289098728863
"24","Matuu - Faganeanea",5.32512435355548
"25","Nua - Seetaga",3.1926873603508
"26","Nuuuli Pala",4.58541549196808
"27","Onenoa",2.43172609343097
"28","Outer Banks",3.01678808334429
"29","Pago Pago Harbor",3.34656806450993
"30","Poloa",2.15091670905386
"31","Sailele",2.13243118869347
"32","Tafuna Plain",3.98517487658841
"33","Tula",2.79908204796023
"34","Vatia",3.09999764051785
