"","Watershed","RICHNESS"
"1","Aasu",45.9047619047619
"2","Afao - Asili",51.1428571428571
"3","Afono",48.4285714285714
"4","Alao",52.2
"5","Alega",48.25
"6","Amanave",53.8333333333333
"7","Amouli",43.5555555555556
"8","Aoloau Sasae",47.4117647058824
"9","Aoloau Sisifo",46.8333333333333
"10","Auasi",43.625
"11","Aunuu",38.3513513513514
"12","Faga'alu",37
"13","Fagaitua",46.6666666666667
"14","Fagalii",42.1111111111111
"15","Fagamalo",45.8235294117647
"16","Fagasa",44.2
"17","Fagatele - Larsen",49.5744680851064
"18","Fagatuitui - Vaaogeoge",46.2
"19","Laulii - Aumi",38.2857142857143
"20","Leone",46.1794871794872
"21","Maloata",40.6
"22","Masausi",51.8888888888889
"23","Masefau",49
"24","Matuu - Faganeanea",45.0588235294118
"25","Nua - Seetaga",44.875
"26","Nuuuli Pala",45.875
"27","Onenoa",52.5
"28","Outer Banks",48.4193548387097
"29","Pago Pago Harbor",43.25
"30","Poloa",53.125
"31","Sailele",42.3
"32","Tafuna Plain",48.6111111111111
"33","Tula",39.8
"34","Vatia",45.1428571428571
