"","Watershed","Turf Cover"
"1","Aasu",41.0454545454545
"2","Afao - Asili",21.4
"3","Afono",43.6666666666667
"4","Alao",19.875
"5","Alega",27.9285714285714
"6","Amanave",26.35
"7","Amouli",40.6875
"8","Aoloau Sasae",46.1136363636364
"9","Aoloau Sisifo",48.5
"10","Auasi",44.8125
"11","Faga'alu",30.1458333333333
"12","Fagaitua",32.0441176470588
"13","Fagalii",38.75
"14","Fagamalo",38.325
"15","Fagasa",41.25
"16","Fagatele - Larsen",30.1176470588235
"17","Fagatuitui - Vaaogeoge",43.6590909090909
"18","Laulii - Aumi",25.7916666666667
"19","Leone",25.6759259259259
"20","Maloata",21.3333333333333
"21","Masausi",40.7916666666667
"22","Masefau",38.5
"23","Matuu - Faganeanea",26.9666666666667
"24","Nua - Seetaga",16.7857142857143
"25","Nuuuli Pala",42.0357142857143
"26","Onenoa",46.0625
"27","Outer Banks",46.4166666666667
"28","Pago Pago Harbor",27.3333333333333
"29","Poloa",44.1875
"30","Sailele",41.3333333333333
"31","Tafuna Plain",43.8833333333333
"32","Tula",53.8214285714286
"33","Vatia",47.6435185185185
"34","Aunuu",57.4571428571429
